date,pm25,pm25_station_count,wx_temp_mean_c,wx_temp_max_c,wx_temp_min_c,wx_dewpoint_mean_c,wx_rh_mean_pct,wx_rh_max_pct,wx_rh_min_pct,wx_precip_total_mm,wx_precip_max_mm,wx_windspd_mean_kmh,wx_windspd_max_kmh,wx_pressure_mean_kpa,wx_visibility_mean_km,wx_visibility_min_km,fire_count,fire_frp_sum,fire_frp_mean
2018-08-21,22.7,1,17.754166666666666,26.3,7.4,2.9791666666666665,41.79166666666666,76.0,18.0,0.0,,8.875,19.0,89.56541666666668,11.166666666666666,8.1,18370.0,313912.01,17.088296679368536
2018-08-22,36.6,1,21.28333333333333,31.0,10.3,3.5,34.5,60.0,15.0,0.0,,7.5,15.0,88.71125,8.575000000000001,4.8,29167.0,474640.04,16.27318682072205
2018-08-23,93.7,1,19.83333333333333,27.8,11.6,5.533333333333334,41.91666666666666,78.0,22.0,0.0,,9.916666666666666,39.0,88.29,4.4,3.2,12018.0,84612.11,7.040448493925778
2018-08-24,62.9,1,11.033333333333331,15.3,9.4,8.166666666666666,82.5,93.0,74.0,0.0,,20.20833333333333,37.0,88.67708333333333,5.741666666666666,2.4,6085.0,29724.93,4.884951520131471
2018-08-25,50.2,1,13.225,19.2,6.6,4.779166666666667,60.208333333333336,88.0,30.0,0.0,,8.5,16.0,88.77041666666666,7.395833333333333,4.8,1038.0,3127.74,3.013236994219653
2018-08-26,42.5,1,12.816666666666668,19.7,7.7,5.304166666666666,63.41666666666666,93.0,31.0,0.0,,11.791666666666666,40.0,88.395,7.179166666666667,4.8,572.0,6435.14,11.250244755244756
2018-08-27,5.6,1,8.658333333333333,13.1,5.7,2.845833333333333,68.70833333333333,91.0,44.0,0.0,,26.70833333333333,40.0,89.19791666666667,19.5,8.1,1354.0,9615.16,7.101299852289513
2018-08-28,11.1,1,13.045833333333334,20.2,5.1,3.4125,54.458333333333336,78.0,32.0,0.0,,12.916666666666666,25.0,88.8325,34.3375,11.3,1450.0,6095.72,4.2039448275862075
2018-08-29,16.1,1,15.55,20.3,10.8,5.670833333333333,52.91666666666666,85.0,38.0,0.0,,10.625,26.0,88.26583333333333,15.033333333333331,9.7,631.0,6187.9,9.806497622820919
2018-09-06,13.0,1,15.4125,24.5,5.2,3.970833333333333,49.583333333333336,77.0,25.0,0.0,,9.708333333333334,20.0,89.54083333333334,29.495833333333337,24.1,684.0,6968.25,10.1875
2018-09-07,24.4,1,18.329166666666666,27.4,8.2,4.104166666666667,44.79166666666666,79.0,18.0,0.0,,7.666666666666667,16.0,89.00541666666668,20.570833333333336,11.3,828.0,8204.14,9.908381642512076
2018-09-08,11.9,1,16.420833333333334,22.2,10.5,4.233333333333333,45.375,61.0,30.0,0.0,,14.875,39.0,88.59458333333333,27.4875,16.1,361.0,1270.09,3.518254847645429
2018-09-09,4.97,1,12.004166666666668,15.0,9.1,5.925,66.70833333333333,84.0,56.0,0.0,,9.416666666666666,16.0,88.97041666666667,22.104166666666668,16.1,109.0,569.08,5.220917431192661
2018-09-10,5.7,1,10.541666666666666,17.3,6.0,5.591666666666666,72.45833333333333,88.0,42.0,0.0,,12.166666666666666,29.0,88.46666666666665,25.11666666666667,3.2,88.0,316.24,3.5936363636363637
